year,airport,gdp__50,gdp_2,gdp_1
01.01.11,ATL,52754957,250779823,277405509
01.01.11,DFW,13081010,81873016,94641424
01.01.11,BOS,75298495,305948117,340778444
01.01.11,CLT,29778320,106077882,117106245
01.01.11,ORD,113144825,480773682,532961747
01.01.11,DEN,29465829,129955870,145505300
01.01.11,DTW,32875628,181591273,200051064
01.01.11,IAH,45849228,351554757,380459547
01.01.11,LAS,18003078,78251020,88096898
01.01.11,LAX,179805890,683804701,756470973
01.01.11,MIA,52836886,223875163,252715328
01.01.11,MSP,40405690,177903236,197392868
01.01.11,JFK,402872382,1183680934,1309742851
01.01.11,LGA,402872382,1183680934,1309742851
01.01.11,EWR,402872382,1183680934,1309742851
01.01.11,MCO,20214882,84914685,93965629
01.01.11,PHL,81864504,315490254,349811165
01.01.11,PHX,38708176,161901576,182446635
01.01.11,SFO,72304544,297602363,331268308
01.01.11,SEA,39986992,222306802,251376955
01.01.12,ATL,56757916,260962774,287570424
01.01.12,DFW,14215642,86120209,99254274
01.01.12,BOS,84560333,323342588,357087616
01.01.12,CLT,35238747,116171292,127361099
01.01.12,ORD,122113683,508763428,561588192
01.01.12,DEN,31449233,136967199,152873532
01.01.12,DTW,35347092,194115343,212159700
01.01.12,IAH,50103334,374573457,404431385
01.01.12,LAS,16882965,79284063,89213576
01.01.12,LAX,193174053,715065044,788081634
01.01.12,MIA,56611517,230142792,259070997
01.01.12,MSP,43572293,185358106,205223887
01.01.12,JFK,464080190,1274434717,1401795910
01.01.12,LGA,464080190,1274434717,1401795910
01.01.12,EWR,464080190,1274434717,1401795910
01.01.12,MCO,21500984,89259533,98568541
01.01.12,PHL,86525945,330472650,364699327
01.01.12,PHX,42624485,171790309,192799880
01.01.12,SFO,81176042,330466908,364594793
01.01.12,SEA,42362616,239269849,269668824
01.01.13,ATL,59916064,273113553,299918186
01.01.13,DFW,15352496,91228953,105076383
01.01.13,BOS,84828342,330917081,365670891
01.01.13,CLT,32884738,118148724,129874487
01.01.13,ORD,124360342,522687445,577664306
01.01.13,DEN,32874954,145942444,162317708
01.01.13,DTW,35276508,201750125,219845447
01.01.13,IAH,52574983,392317292,423766110
01.01.13,LAS,18076142,82454910,92592492
01.01.13,LAX,201524885,744294878,820353615
01.01.13,MIA,60394196,241819473,271477303
01.01.13,MSP,43878092,192757324,213332441
01.01.13,JFK,462398877,1305137287,1439677901
01.01.13,LGA,462398877,1305137287,1439677901
01.01.13,EWR,462398877,1305137287,1439677901
01.01.13,MCO,22678743,93811337,103413293
01.01.13,PHL,85304883,338342439,374434278
01.01.13,PHX,45390684,176234835,197943482
01.01.13,SFO,84668068,347145652,383254722
01.01.13,SEA,44620439,252863761,284258477
