Date,JET_FUEL_TYPE (Dollars per Gallon)
2011-09-01,3.088
2011-09-02,3.0380000000000003
2011-09-06,3.043
2011-09-07,3.05
2011-09-08,3.0180000000000002
2011-09-09,2.9619999999999997
2011-09-12,2.938
2011-09-13,2.9219999999999997
2011-09-14,2.937
2011-09-15,3.0189999999999997
2011-09-16,3.002
2011-09-19,2.938
2011-09-20,2.946
2011-09-21,2.9189999999999996
2011-09-22,2.853
2011-09-23,2.827
2011-09-26,2.86
2011-09-27,2.928
2011-09-28,2.877
2011-09-29,2.8939999999999997
2011-09-30,2.844
2011-10-03,2.815
2011-10-04,2.838
2011-10-05,2.835
2011-10-06,2.9160000000000004
2011-10-07,2.8810000000000002
2011-10-10,2.911
2011-10-11,2.889
2011-10-12,2.917
2011-10-13,2.972
2011-10-14,3.056
2011-10-17,2.986
2011-10-18,3.01
2011-10-19,2.9819999999999998
2011-10-20,3.028
2011-10-21,3.01
2011-10-24,3.036
2011-10-25,3.025
2011-10-26,3.0060000000000002
2011-10-27,3.088
2011-10-28,3.051
2011-10-31,3.028
2011-11-01,3.011
2011-11-02,2.991
2011-11-03,3.036
2011-11-04,3.0669999999999997
2011-11-07,3.114
2011-11-08,3.1189999999999998
2011-11-09,3.095
2011-11-10,3.1310000000000002
2011-11-11,3.178
2011-11-14,3.158
2011-11-15,3.156
2011-11-16,3.0860000000000003
2011-11-17,3.052
2011-11-18,3.0189999999999997
2011-11-21,2.964
2011-11-22,3.005
2011-11-23,2.9360000000000004
2011-11-25,2.9139999999999997
2011-11-28,2.9389999999999996
2011-11-29,2.991
2011-11-30,3.0010000000000003
2011-12-01,2.969
2011-12-02,2.968
2011-12-05,2.9410000000000003
2011-12-06,2.977
2011-12-07,2.943
2011-12-08,2.867
2011-12-09,2.841
2011-12-12,2.824
2011-12-13,2.8539999999999996
2011-12-14,2.761
2011-12-15,2.7489999999999997
2011-12-16,2.7680000000000002
2011-12-19,2.739
2011-12-20,2.8289999999999997
2011-12-21,2.8739999999999997
2011-12-22,2.91
2011-12-23,2.885
2011-12-27,2.8939999999999997
2011-12-28,2.891
2011-12-29,2.93
2011-12-30,2.917
2012-01-03,3.04
2012-01-04,3.1
2012-01-05,3.06
2012-01-06,3.102
2012-01-09,3.134
2012-01-10,3.168
2012-01-11,3.136
2012-01-12,3.1
2012-01-13,3.095
2012-01-17,3.0789999999999997
2012-01-18,3.076
2012-01-19,3.093
2012-01-20,3.045
2012-01-23,3.055
2012-01-24,3.07
2012-01-25,3.062
2012-01-26,3.082
2012-01-27,3.1
2012-01-30,3.068
2012-01-31,3.0789999999999997
2012-02-01,3.0789999999999997
2012-02-02,3.085
2012-02-03,3.134
2012-02-06,3.217
2012-02-07,3.2119999999999997
2012-02-08,3.197
2012-02-09,3.216
2012-02-10,3.17
2012-02-13,3.15
2012-02-14,3.165
2012-02-15,3.1910000000000003
2012-02-16,3.215
2012-02-17,3.197
2012-02-21,3.237
2012-02-22,3.29
2012-02-23,3.313
2012-02-24,3.33
2012-02-27,3.2939999999999996
2012-02-28,3.239
2012-02-29,3.2119999999999997
2012-03-01,3.273
2012-03-02,3.205
2012-03-05,3.22
2012-03-06,3.2039999999999997
2012-03-07,3.236
2012-03-08,3.2880000000000003
2012-03-09,3.2939999999999996
2012-03-12,3.278
2012-03-13,3.298
2012-03-14,3.292
2012-03-15,3.2460000000000004
2012-03-16,3.3089999999999997
2012-03-19,3.272
2012-03-20,3.263
2012-03-21,3.235
2012-03-22,3.2030000000000003
2012-03-23,3.235
2012-03-26,3.2689999999999997
2012-03-27,3.262
2012-03-28,3.275
2012-03-29,3.228
2012-03-30,3.242
2012-04-02,3.315
2012-04-03,3.302
2012-04-04,3.234
2012-04-05,3.2239999999999998
2012-04-09,3.2039999999999997
2012-04-10,3.158
2012-04-11,3.167
2012-04-12,3.24
2012-04-13,3.263
