year,LineCode,airport,gdp
2011-01-01,1.0,ATL,277405509.0
2011-01-01,2.0,ATL,250779823.0
2011-01-01,3.0,ATL,
2011-01-01,6.0,ATL,267771.0
2011-01-01,10.0,ATL,3704264.0
2011-01-01,11.0,ATL,
2011-01-01,12.0,ATL,24796297.0
2011-01-01,13.0,ATL,
2011-01-01,25.0,ATL,
2011-01-01,34.0,ATL,
2011-01-01,35.0,ATL,14903243.0
2011-01-01,36.0,ATL,
2011-01-01,45.0,ATL,
2011-01-01,50.0,ATL,52754957.0
2011-01-01,51.0,ATL,
2011-01-01,56.0,ATL,
2011-01-01,59.0,ATL,41014554.0
2011-01-01,60.0,ATL,
2011-01-01,64.0,ATL,
2011-01-01,65.0,ATL,
2011-01-01,68.0,ATL,
2011-01-01,69.0,ATL,
2011-01-01,70.0,ATL,
2011-01-01,75.0,ATL,9035272.0
2011-01-01,76.0,ATL,
2011-01-01,79.0,ATL,
2011-01-01,82.0,ATL,5091216.0
2011-01-01,83.0,ATL,26625686.0
2011-01-01,,ATL,
2011-01-01,87.0,ATL,
2011-01-01,88.0,ATL,
2011-01-01,89.0,ATL,
2011-01-01,90.0,ATL,
2011-01-01,91.0,ATL,34120190.0
2011-01-01,92.0,ATL,216659633.0
2011-01-01,1.0,DFW,94641424.0
2011-01-01,2.0,DFW,81873016.0
2011-01-01,3.0,DFW,30161.0
2011-01-01,6.0,DFW,1182604.0
2011-01-01,10.0,DFW,788426.0
2011-01-01,11.0,DFW,3926878.0
2011-01-01,12.0,DFW,13969235.0
2011-01-01,13.0,DFW,12966037.0
2011-01-01,25.0,DFW,1003198.0
2011-01-01,34.0,DFW,10662985.0
2011-01-01,35.0,DFW,5465327.0
2011-01-01,36.0,DFW,1304041.0
2011-01-01,45.0,DFW,5983353.0
2011-01-01,50.0,DFW,13081010.0
2011-01-01,51.0,DFW,4360601.0
2011-01-01,56.0,DFW,8720409.0
2011-01-01,59.0,DFW,13310665.0
2011-01-01,60.0,DFW,9709176.0
2011-01-01,64.0,DFW,
2011-01-01,65.0,DFW,
2011-01-01,68.0,DFW,6254195.0
2011-01-01,69.0,DFW,775808.0
2011-01-01,70.0,DFW,5478387.0
