,city,year,pop_metro,airport
0,Boston,2011,4189217,BOS
1,Boston,2012,4233822,BOS
2,Boston,2013,4278879,BOS
3,Seattle,2011,3499104,SEA
4,Seattle,2012,3554484,SEA
5,Seattle,2013,3610838,SEA
6,Los Angeles,2011,17222935,LAX
7,Los Angeles,2012,17355017,LAX
8,Los Angeles,2013,17478028,LAX
9,Denver,2011,2602973,DEN
10,Denver,2012,2650456,DEN
11,Denver,2013,2700774,DEN
12,Miami,2011,5841396,MIA
13,Miami,2012,5920714,MIA
14,Miami,2013,6000555,MIA
15,Austin,2011,1791182,
16,Austin,2012,1845553,
17,Austin,2013,1894549,
18,Minneapolis,2011,3335737,MSP
19,Minneapolis,2012,3368660,MSP
20,Minneapolis,2013,3403698,MSP
21,New York,2011,19704605,JFK
22,New York,2011,19704605,LGA
23,New York,2011,19704605,EWR
24,New York,2012,19801830,JFK
25,New York,2012,19801830,LGA
26,New York,2012,19801830,EWR
27,New York,2013,19879697,JFK
28,New York,2013,19879697,LGA
29,New York,2013,19879697,EWR
30,Phoenix,2011,4253825,PHX
31,Phoenix,2012,4331053,PHX
32,Phoenix,2013,4404675,PHX
33,Las Vegas,2011,2011248,LAS
34,Las Vegas,2012,2038651,LAS
35,Las Vegas,2013,2066147,LAS
36,Chicago,2011,9500991,ORD
37,Chicago,2012,9529773,ORD
38,Chicago,2013,9553268,ORD
39,Atlanta,2011,5032611,ATL
40,Atlanta,2012,5111839,ATL
41,Atlanta,2013,5178025,ATL
42,Philadelphia,2011,6363153,PHL
43,Philadelphia,2012,6385261,PHL
44,Philadelphia,2013,6400058,PHL
45,San Francisco,2011,6264042,SFO
46,San Francisco,2012,6351379,SFO
47,San Francisco,2013,6445881,SFO
48,Houston,2011,6149528,IAH
49,Houston,2012,6278051,IAH
50,Houston,2013,6423651,IAH
51,Detroit,2011,4354800,DTW
52,Detroit,2012,4363506,DTW
53,Detroit,2013,4367707,DTW
54,Dallas,2011,6734466,DFW
55,Dallas,2012,6869768,DFW
56,Dallas,2013,6980743,DFW
57,Charlotte,2011,1766685,CLT
58,Charlotte,2012,1801246,CLT
59,Charlotte,2013,1837892,CLT
