,city,year,work_pop,airport
0,New York,2011,13415543,JFK
1,New York,2011,13415543,LGA
2,New York,2011,13415543,EWR
3,New York,2012,13425475,JFK
4,New York,2012,13425475,LGA
5,New York,2012,13425475,EWR
6,New York,2013,13435986,JFK
7,New York,2013,13435986,LGA
8,New York,2013,13435986,EWR
9,Los Angeles,2011,11781575,LAX
10,Los Angeles,2012,11854951,LAX
11,Los Angeles,2013,11923709,LAX
12,Chicago,2011,6457047,ORD
13,Chicago,2012,6456780,ORD
14,Chicago,2013,6461815,ORD
15,Washington,2011,5952032,
16,Washington,2012,6003093,
17,Washington,2013,6046414,
18,San Francisco,2011,4340618,SFO
19,San Francisco,2012,4384602,SFO
20,San Francisco,2013,4436479,SFO
21,Philadelphia,2011,4312453,PHL
22,Philadelphia,2012,4309335,PHL
23,Philadelphia,2013,4307023,PHL
24,Houston,2011,4176256,IAH
25,Houston,2012,4250611,IAH
26,Houston,2013,4339788,IAH
27,Miami,2011,3874203,MIA
28,Miami,2012,3914966,MIA
29,Miami,2013,3958886,MIA
30,Atlanta,2011,3475135,ATL
31,Atlanta,2012,3516323,ATL
32,Atlanta,2013,3545640,ATL
33,Boston,2011,2900721,BOS
34,Boston,2012,2921955,BOS
35,Boston,2013,2946180,BOS
36,Phoenix,2011,2793413,PHX
37,Phoenix,2012,2832524,PHX
38,Phoenix,2013,2871500,PHX
39,Detroit,2011,2924230,DTW
40,Detroit,2012,2918808,DTW
41,Detroit,2013,2912974,DTW
42,Seattle,2011,2452750,SEA
43,Seattle,2012,2479314,SEA
44,Seattle,2013,2509383,SEA
45,Minneapolis,2011,2284898,MSP
46,Minneapolis,2012,2295924,MSP
47,Minneapolis,2013,2310186,MSP
48,Denver,2011,1794613,DEN
49,Denver,2012,1820452,DEN
50,Denver,2013,1849938,DEN
51,Las Vegas,2011,1356331,LAS
52,Las Vegas,2012,1368615,LAS
53,Las Vegas,2013,1380069,LAS
54,Charlotte,2011,1203776,CLT
55,Charlotte,2012,1222869,CLT
56,Charlotte,2013,1245167,CLT
57,Austin,2011,1260448,
58,Austin,2012,1295945,
59,Austin,2013,1327536,
60,Dallas,2011,4557522,DFW
61,Dallas,2012,4638760,DFW
62,Dallas,2013,4700616,DFW
63,Orlando,2011,978152,MCO
64,Orlando,2012,977771,MCO
65,Orlando,2013,984925,MCO
