AIRPORT_SEQ_ID,AIRPORT,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_COUNTRY_NAME,AIRPORT_STATE_NAME,
1000101,01A,"Afognak Lake, AK",United States,Alaska,
1000301,03A,"Granite Mountain, AK",United States,Alaska,
1000401,04A,"Lik, AK",United States,Alaska,
1000501,05A,"Little Squaw, AK",United States,Alaska,
1000601,06A,"Kizhuyak, AK",United States,Alaska,
1000701,07A,"Klawock, AK",United States,Alaska,
1000801,08A,"Elizabeth Island, AK",United States,Alaska,
1000901,09A,"Homer, AK",United States,Alaska,
1001001,1B1,"Hudson, NY",United States,New York,
1001002,1B1,"Hudson, NY",United States,New York,
1001101,1G4,"Peach Springs, AZ",United States,Arizona,
1001102,1G4,"Peach Springs, AZ",United States,Arizona,
1001103,1G4,"Peach Springs, AZ",United States,Arizona,
1001104,1G4,"Peach Springs, AZ",United States,Arizona,
1001201,1N7,"Blairstown, NJ",United States,New Jersey,
1001301,8F3,"Crosbyton, TX",United States,Texas,
1001401,A01,"Fairbanks/Ft. Wainwright, AK",United States,Alaska,
1001402,A01,"Fairbanks/Ft. Wainwright, AK",United States,Alaska,
1001501,A02,"Deadmans Bay, AK",United States,Alaska,
1001601,A03,"Hallo Bay, AK",United States,Alaska,
1001701,A04,"Red Lake, AK",United States,Alaska,
1001801,A05,"Shell Lake, AK",United States,Alaska,
1001901,A06,"Kougarok, AK",United States,Alaska,
1002001,A07,"Selawik, AK",United States,Alaska,
1002002,A07,"Selawik, AK",United States,Alaska,
1002101,A08,"Pillar Bay, AK",United States,Alaska,
1002201,JOH,"Johnstone Point, AK",United States,Alaska,
1002202,A09,"Johnstone Point, AK",United States,Alaska,
1002203,A09,"Johnstone Point, AK",United States,Alaska,
1002204,A09,"Johnstone Point, AK",United States,Alaska,
1002205,A09,"Johnstone Point, AK",United States,Alaska,
1002301,TLK,"Tikchik Lodge, AK",United States,Alaska,
1002302,KTH,"Tikchik Lodge, AK",United States,Alaska,
1002401,A11,"Bell Creek, AK",United States,Alaska,
1002501,A12,"Cinnabar, AK",United States,Alaska,
1002601,A13,"Mountaintop Mine, AK",United States,Alaska,
1002701,A14,"Whitebear, AK",United States,Alaska,
1002801,A15,"Puviaq, AK",United States,Alaska,
1002802,A15,"Puviaq, AK",United States,Alaska,
1002901,A16,"Arley Lake, AK",United States,Alaska,
1003001,A17,"Port Vita, AK",United States,Alaska,
1003101,A18,"Kantishna, AK",United States,Alaska,
1003102,A18,"Kantishna, AK",United States,Alaska,
1003103,A18,"Kantishna, AK",United States,Alaska,
1003104,A18,"Kantishna, AK",United States,Alaska,
1003301,A20,"Alpine, AK",United States,Alaska,
1003401,A21,"Serpentine, AK",United States,Alaska,
1003501,A22,"Driftwood Bay, AK",United States,Alaska,
1003601,A23,"Bradley Lake, AK",United States,Alaska,
1003701,A24,"Chilkat Lake, AK",United States,Alaska,
1003801,A25,"Nugget Creek, AK",United States,Alaska,
1003901,A26,"Ivotuk, AK",United States,Alaska,
1004001,A27,"Pogo Mines, AK",United States,Alaska,
1004101,A28,"Ayakulik River, AK",United States,Alaska,
1004201,A29,"Kiluda Bay, AK",United States,Alaska,
1004301,A30,"Terror Lake, AK",United States,Alaska,
1004401,A31,"Selief Bay, AK",United States,Alaska,
1004701,A34,"Laura Lake, AK",United States,Alaska,
1004901,A36,"Deep Bay, AK",United States,Alaska,
1005001,A37,"Kako, AK",United States,Alaska,
1005002,A37,"Kako, AK",United States,Alaska,
1005101,A38,"Molly Creek, AK",United States,Alaska,
1005201,A39,"Ptarmigan Lake, AK",United States,Alaska,
1005301,A40,"Cape Simpson, AK",United States,Alaska,
1005401,A41,"Kogru River, AK",United States,Alaska,
1005402,A41,"Kogru River, AK",United States,Alaska,
1005501,A42,"Teshepkuk Lake, AK",United States,Alaska,
1005601,A43,"Kodiak Island, AK",United States,Alaska,
1005801,A45,"Lake Florence, AK",United States,Alaska,
1005901,A46,"Lake Hasselborg, AK",United States,Alaska,
1006001,A47,"Distin Lake, AK",United States,Alaska,
1006101,A48,"Port Hobron, AK",United States,Alaska,
1006201,A49,"Mooseville Airstrip, AK",United States,Alaska,
1006301,A50,"Big Bay, AK",United States,Alaska,
1006401,A51,"Wien Lake, AK",United States,Alaska,
1006501,A52,"Silver Salmon Creek, AK",United States,Alaska,
1006601,A53,"Blear Lake, AK",United States,Alaska,
1006701,A54,"Cannery Bay, AK",United States,Alaska,
1006901,A56,"Bear Lake, AK",United States,Alaska,
1007001,VZK,"International Seafoods, AK",United States,Alaska,
1007002,A57,"International Seafoods, AK",United States,Alaska,
1007101,A58,"Cosna River, AK",United States,Alaska,
1007201,A59,"Ivatuk, AK",United States,Alaska,
1007401,A61,"Cape Sarichef, AK",United States,Alaska,
1007402,A61,"Cape Sarichef, AK",United States,Alaska,
1007501,A62,"Taylor Mountain Mine, AK",United States,Alaska,
1007601,A63,"Yukon Charley Rivvers, AK",United States,Alaska,
1007602,A63,"Yukon Charley Rivvers, AK",United States,Alaska,
1007603,A63,"Yukon Charley Rivvers, AK",United States,Alaska,
1007604,A63,"Yukon Charley Rivvers, AK",United States,Alaska,
1007605,A63,"Yukon Charley Rivvers, AK",United States,Alaska,
1007801,A65,"Karluk Portage, AK",United States,Alaska,
1007901,A66,"Hope, AK",United States,Alaska,
1007902,A66,"Hope, AK",United States,Alaska,
1007903,A66,"Hope, AK",United States,Alaska,
1007904,A66,"Hope, AK",United States,Alaska,
1007905,A66,"Hope, AK",United States,Alaska,
1008001,A67,"Viekoda Bay, AK",United States,Alaska,
1008201,A69,"Cold Bay, AK",United States,Alaska,
1008301,A70,"Village Islands, AK",United States,Alaska,
1008401,A71,"Homer, AK",United States,Alaska,
1008501,A72,"Chinitna Bay, AK",United States,Alaska,
1008601,A73,"McKinley Park, AK",United States,Alaska,
1008701,A74,"Nanwalek, AK",United States,Alaska,
1008801,A75,"Malina Bay, AK",United States,Alaska,
1008901,A76,"Red Fox Bay, AK",United States,Alaska,
1009001,A77,"Shearwater, AK",United States,Alaska,
1009101,A78,"Cape Simpson, AK",United States,Alaska,
1009201,A79,"Cape Simpson, AK",United States,Alaska,
1009301,A80,"Cape Simpson, AK",United States,Alaska,
1009401,A81,"Aglaq, AK",United States,Alaska,
1009501,A82,"Nikiski, AK",United States,Alaska,
1009601,A83,"Petrof Point, AK",United States,Alaska,
1009701,A84,"Denali, AK",United States,Alaska,
1009801,A85,"Big River, AK",United States,Alaska,
1010001,A87,"Carry Inlet, AK",United States,Alaska,
1010201,A89,"Montague Island, AK",United States,Alaska,
1010301,A90,"Shannon Pond, AK",United States,Alaska,
1010401,A91,"Omalik Lagoon, AK",United States,Alaska,
1010501,A92,"Omolik Lagoon, AK",United States,Alaska,
1010601,A93,"Bradley Lake Project, AK",United States,Alaska,
1010701,A94,"Barrow, AK",United States,Alaska,
1010801,A95,"Barrow, AK",United States,Alaska,
1010901,A96,"Barrow, AK",United States,Alaska,
1011001,A97,"Akulik, AK",United States,Alaska,
1011101,A98,"Deadfall, AK",United States,Alaska,
1011201,A99,"Eagle Creek, AK",United States,Alaska,
1011301,AA1,"Bethel, AK",United States,Alaska,
1011601,AA4,"Kachemak Bay, AK",United States,Alaska,
1011701,AA5,"Selby Lake, AK",United States,Alaska,
1011801,AAA,"Anaa, French Polynesia",French Polynesia,,
1011802,AAA,"Anaa, French Polynesia",French Polynesia,,
1011901,AAB,"Arrabury, Australia",Australia,,
1012001,AAC,"El Arish, Egypt",Egypt,,
1012002,AAC,"El Arish, Egypt",Egypt,,
1012101,AAE,"Annaba, Algeria",Algeria,,
1012102,AAE,"Annaba, Algeria",Algeria,,
1012103,AAE,"Annaba, Algeria",Algeria,,
1012201,AAF,"Apalachicola, FL",United States,Florida,
1012202,AAF,"Apalachicola, FL",United States,Florida,
1012203,AAF,"Apalachicola, FL",United States,Florida,
1012204,AAF,"Apalachicola, FL",United States,Florida,
1012301,AAH,"Aachen, West Germany",West Germany,,
1012302,AAH,"Aachen, Germany",Germany,,
1012303,AAH,"Aachen, Germany",Germany,,
1012304,AAH,"Aachen, Germany",Germany,,
1012305,AAH,"Aachen, Germany",Germany,,
1012306,AAH,"Aachen, Germany",Germany,,
1012401,AAI,"Arraias, Brazil",Brazil,,
1012402,AAI,"Arraias, Brazil",Brazil,,
1012403,AAI,"Arraias, Brazil",Brazil,,
1012404,AAI,"Arraias, Brazil",Brazil,,
1012405,AAI,"Arraias, Brazil",Brazil,,
1012501,AAL,"Aalborg, Denmark",Denmark,,
1012502,AAL,"Aalborg, Denmark",Denmark,,
1012503,AAL,"Aalborg, Denmark",Denmark,,
1012601,AAM,"Mala Mala, South Africa",South Africa,,
1012602,AAM,"Mala Mala, South Africa",South Africa,,
1012701,AAN,"Al Ain, United Arab Emirates",United Arab Emirates,,
1012702,AAN,"Al Ain, United Arab Emirates",United Arab Emirates,,
1012703,AAN,"Al Ain, United Arab Emirates",United Arab Emirates,,
1012801,AAO,"Anaco, Venezuela",Venezuela,,
1012802,AAO,"Anaco, Venezuela",Venezuela,,
1012803,AAO,"Anaco, Venezuela",Venezuela,,
1012804,AAO,"Anaco, Venezuela",Venezuela,,
1012805,AAO,"Anaco, Venezuela",Venezuela,,
1012901,AAQ,"Anapa, Russia",Russia,,
1012902,AAQ,"Anapa, Russia",Russia,,
1012903,AAQ,"Anapa, Russia",Russia,,
1012904,AAQ,"Anapa, Russia",Russia,,
1013001,AAR,"Aarhus, Denmark",Denmark,,
1013002,AAR,"Aarhus, Denmark",Denmark,,
1013003,AAR,"Aarhus, Denmark",Denmark,,
1013101,AAU,"Asau, Samoa",Samoa,,
1013201,AAX,"Araxa, Brazil",Brazil,,
1013202,AAX,"Araxa, Brazil",Brazil,,
1013203,AAX,"Araxa, Brazil",Brazil,,
1013401,ABD,"Abadan, Iran",Iran,,
1013402,ABD,"Abadan, Iran",Iran,,
1013403,ABD,"Abadan, Iran",Iran,,
1013501,ABE,"Allentown/Bethlehem/Easton, PA",United States,Pennsylvania,
1013502,ABE,"Allentown/Bethlehem/Easton, PA",United States,Pennsylvania,
1013503,ABE,"Allentown/Bethlehem/Easton, PA",United States,Pennsylvania,
1013504,ABE,"Allentown/Bethlehem/Easton, PA",United States,Pennsylvania,
1013505,ABE,"Allentown/Bethlehem/Easton, PA",United States,Pennsylvania,
1013506,ABE,"Allentown/Bethlehem/Easton, PA",United States,Pennsylvania,
1013601,ABI,"Abilene, TX",United States,Texas,
