GeoFips,GeoName,LineCode,Description,2011,2012,2013
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",1,All industry total,277405509,287570424,299918186
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",2,  Private industries,250779823,260962774,273113553
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",3,"    Agriculture, forestry, fishing and hunting",(D),(D),602096
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",267771,228417,231368
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",10,    Utilities,3704264,3582854,(D)
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",11,    Construction,(D),(D),8712524
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",12,    Manufacturing,24796297,24893756,25434336
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",13,      Durable goods manufacturing,(D),(D),11697446
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",25,      Nondurable goods manufacturing,(D),(D),13736889
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",34,    Wholesale trade,(D),(D),29267947
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",35,    Retail trade,14903243,15651643,16329761
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",36,    Transportation and warehousing,(D),(D),15165417
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",45,    Information,(D),(D),31136557
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",50,"    Finance, insurance, real estate, rental, and leasing",52754957,56757916,59916064
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",51,      Finance and insurance,(D),(D),(D)
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",56,      Real estate and rental and leasing,(D),(D),(D)
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",59,    Professional and business services,41014554,43318419,44789479
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",60,"      Professional, scientific, and technical services",(D),(D),26477495
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",64,      Management of companies and enterprises,(D),(D),(D)
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",65,      Administrative and support and waste management and remediation services,(D),(D),(D)
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",68,"    Educational services, health care, and social assistance",(D),(D),22260824
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",69,      Educational services,(D),(D),4394134
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",70,      Health care and social assistance,(D),(D),17866690
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",75,"    Arts, entertainment, recreation, accommodation, and food services",9035272,9632142,(D)
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",76,"      Arts, entertainment, and recreation",(D),(D),(D)
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",79,      Accommodation and food services,(D),(D),(D)
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",82,    Other services (except government and government enterprises),5091216,5314810,5518360
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",83,Government and government enterprises,26625686,26607651,26804633
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",,Addenda:,,,
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",87,Natural resources and mining,(D),(D),833464
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",88,Trade,(D),(D),45597708
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",89,Transportation and utilities,(D),(D),(D)
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",90,Manufacturing and information,(D),(D),56570893
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",91,Private goods-producing industries 2/,34120190,34105385,34980324
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",92,Private services-providing industries 3/,216659633,226857389,238133229
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",1,All industry total,94641424,99254274,105076383
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",2,  Private industries,81873016,86120209,91228953
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",3,"    Agriculture, forestry, fishing and hunting",30161,60176,81128
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",1182604,1090154,1045378
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",10,    Utilities,788426,792281,659701
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",11,    Construction,3926878,4417061,4926663
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",12,    Manufacturing,13969235,12668695,13119160
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",13,      Durable goods manufacturing,12966037,11567345,11738184
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",25,      Nondurable goods manufacturing,1003198,1101350,1380976
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",34,    Wholesale trade,10662985,11846633,12011185
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",35,    Retail trade,5465327,5858068,6259365
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",36,    Transportation and warehousing,1304041,1553874,1658909
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",45,    Information,5983353,6099462,6744002
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",50,"    Finance, insurance, real estate, rental, and leasing",13081010,14215642,15352496
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",51,      Finance and insurance,4360601,4935533,5408001
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",56,      Real estate and rental and leasing,8720409,9280109,9944495
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",59,    Professional and business services,13310665,14377920,15547612
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",60,"      Professional, scientific, and technical services",9709176,10669731,11498134
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",64,      Management of companies and enterprises,(D),(D),(D)
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",65,      Administrative and support and waste management and remediation services,(D),(D),(D)
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",68,"    Educational services, health care, and social assistance",6254195,6700861,6934914
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",69,      Educational services,775808,830338,860740
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",70,      Health care and social assistance,5478387,5870523,6074174
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",75,"    Arts, entertainment, recreation, accommodation, and food services",3637605,3990528,4251965
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",76,"      Arts, entertainment, and recreation",653357,(D),(D)
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",79,      Accommodation and food services,2984248,(D),(D)
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",82,    Other services (except government and government enterprises),2276530,2448854,2636475
