CAGDP2 Gross domestic product (GDP) by county and metropolitan area 1/,,,,,,,,,
(Thousands of current dollars) ,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,
GeoFips,GeoName,LineCode,Description,2010,2011,2012,2013,2014,2018
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",1,All industry total,268736276,277405509,287570424,299918186,319893192,397261292
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",2,  Private industries,241980044,250779823,260962774,273113553,292067615,364759335
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",3,"    Agriculture, forestry, fishing and hunting",(D),(D),(D),602096,(D),(D)
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",265668,267771,228417,231368,244314,391170
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",10,    Utilities,3713169,3704264,3582854,(D),4229334,(D)
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",11,    Construction,(D),(D),(D),8712524,(D),17631615
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",12,    Manufacturing,23752029,24796297,24893756,25434336,26626906,32017970
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",13,      Durable goods manufacturing,(D),(D),(D),11697446,12159876,14944222
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",25,      Nondurable goods manufacturing,(D),(D),(D),13736889,14467030,17073748
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",34,    Wholesale trade,(D),(D),(D),29267947,30879760,36012805
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",35,    Retail trade,14496168,14903243,15651643,16329761,16845149,19828344
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",36,    Transportation and warehousing,(D),(D),(D),15165417,15761170,19753622
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",45,    Information,(D),(D),(D),31136557,33061033,43253614
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",50,"    Finance, insurance, real estate, rental, and leasing",50182036,52754957,56757916,59916064,65365903,82310891
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",51,      Finance and insurance,21044599,(D),(D),(D),(D),35517970
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",56,      Real estate and rental and leasing,29137437,(D),(D),(D),(D),46792921
