METRO_ID,Metropolitan areas,VAR,Variables,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
USA11,Boston,T_T,"Population, all ages, administrative data",2011,2011,PER,Persons,0,Units,,,4189217,,
USA11,Boston,T_T,"Population, all ages, administrative data",2012,2012,PER,Persons,0,Units,,,4233822,,
USA11,Boston,T_T,"Population, all ages, administrative data",2013,2013,PER,Persons,0,Units,,,4278879,,
USA14,Seattle,T_T,"Population, all ages, administrative data",2011,2011,PER,Persons,0,Units,,,3499104,,
USA14,Seattle,T_T,"Population, all ages, administrative data",2012,2012,PER,Persons,0,Units,,,3554484,,
USA14,Seattle,T_T,"Population, all ages, administrative data",2013,2013,PER,Persons,0,Units,,,3610838,,
USA02,Los Angeles (Greater),T_T,"Population, all ages, administrative data",2011,2011,PER,Persons,0,Units,,,17222935,,
USA02,Los Angeles (Greater),T_T,"Population, all ages, administrative data",2012,2012,PER,Persons,0,Units,,,17355017,,
USA02,Los Angeles (Greater),T_T,"Population, all ages, administrative data",2013,2013,PER,Persons,0,Units,,,17478028,,
USA18,Denver,T_T,"Population, all ages, administrative data",2011,2011,PER,Persons,0,Units,,,2602973,,
USA18,Denver,T_T,"Population, all ages, administrative data",2012,2012,PER,Persons,0,Units,,,2650456,,
USA18,Denver,T_T,"Population, all ages, administrative data",2013,2013,PER,Persons,0,Units,,,2700774,,
USA09,Miami (Greater),T_T,"Population, all ages, administrative data",2011,2011,PER,Persons,0,Units,,,5841396,,
USA09,Miami (Greater),T_T,"Population, all ages, administrative data",2012,2012,PER,Persons,0,Units,,,5920714,,
USA09,Miami (Greater),T_T,"Population, all ages, administrative data",2013,2013,PER,Persons,0,Units,,,6000555,,
USA30,Austin,T_T,"Population, all ages, administrative data",2011,2011,PER,Persons,0,Units,,,1791182,,
USA30,Austin,T_T,"Population, all ages, administrative data",2012,2012,PER,Persons,0,Units,,,1845553,,
USA30,Austin,T_T,"Population, all ages, administrative data",2013,2013,PER,Persons,0,Units,,,1894549,,
USA15,Minneapolis,T_T,"Population, all ages, administrative data",2011,2011,PER,Persons,0,Units,,,3335737,,
USA15,Minneapolis,T_T,"Population, all ages, administrative data",2012,2012,PER,Persons,0,Units,,,3368660,,
USA15,Minneapolis,T_T,"Population, all ages, administrative data",2013,2013,PER,Persons,0,Units,,,3403698,,
