Departure,Arrival,WeeksToDeparture,std_wtd,year,month,day,weekday,week,n_days,passengers load,distance km
ORD,DFW,12.875,9.81264711881,2012,6,19,1,25,15510,32171795.0,1290.1793707420127
LAS,DEN,14.2857142857,9.46673373551,2012,9,10,0,37,15593,19959651.0,991.0640578482363
DEN,LAX,10.8636363636,9.03588325219,2012,10,5,4,40,15618,25799841.0,1366.9188465950538
ATL,ORD,11.48,7.990202333689999,2011,10,9,6,40,15256,44414121.0,974.5225568706392
DEN,SFO,11.45,9.51715901882,2012,2,21,1,8,15391,25799841.0,1538.142783061649
ATL,MCO,10.3636363636,8.23202488858,2013,1,22,1,4,15727,0.0,648.9623198292838
SFO,LAS,15.2666666667,9.80827705821,2011,10,20,3,42,15267,20056568.0,666.2312617124073
EWR,ORD,8.588235294119999,6.1650103764,2012,1,28,5,4,15367,17055993.0,1157.1569390818115
ATL,CLT,10.2380952381,6.609877169090001,2012,5,27,6,21,15487,45798928.0,365.5358230110742
ATL,DEN,8.29411764706,5.542615649249999,2013,2,22,4,8,15758,0.0,1944.6376583703777
ATL,MSP,12.6,9.72539630726,2012,4,25,2,17,15455,45798928.0,1458.8377972587537
ORD,EWR,8.933333333330001,9.40719076533,2013,1,31,3,5,15736,0.0,1157.1569390818115
IAH,LAX,13.6296296296,9.17835307897,2012,6,23,5,25,15514,19039000.0,2219.3851132122545
LAX,ORD,12.8076923077,8.12905520104,2011,9,12,0,37,15229,30528737.0,2807.506678346936
DFW,ORD,9.9,6.60860682826,2012,11,15,3,46,15659,28022904.0,1290.1793707420127
ATL,DEN,10.5652173913,7.590820335089999,2012,3,4,6,9,15403,45798928.0,1944.6376583703777
ORD,PHX,13.76,9.9552331297,2012,1,10,1,2,15349,32171795.0,2316.8496979811985
SEA,SFO,7.0,4.472135955,2013,2,13,2,7,15749,0.0,1091.7844056778617
EWR,MCO,12.875,9.66532349489,2012,6,15,4,24,15506,17055993.0,1509.2140580816642
ATL,MSP,9.84210526316,7.81922955778,2012,2,3,4,5,15373,45798928.0,1458.8377972587537
SFO,DEN,10.5238095238,7.13876073012,2013,2,6,2,6,15742,0.0,1538.142783061649
ORD,DTW,9.83333333333,8.30485329403,2011,12,2,4,48,15310,31892301.0,378.2448562948795
JFK,MIA,16.0689655172,10.3472944514,2012,8,27,0,35,15579,24520981.0,1753.5587649971123
PHL,DFW,6.15384615385,4.18023432051,2012,4,16,0,16,15446,14589337.0,2095.66962946931
EWR,BOS,11.0,8.71175853902,2012,11,12,0,46,15656,17055993.0,322.6185793889856
ATL,PHL,8.68421052632,6.70035348635,2011,9,8,3,36,15225,44414121.0,1071.0060503652837
LAS,JFK,14.0357142857,8.97107344358,2012,10,24,2,43,15637,19959651.0,3617.7361768351943
ORD,EWR,8.13333333333,6.289068369190002,2012,4,16,0,16,15446,32171795.0,1157.1569390818115
PHL,ATL,8.176470588239999,6.61660122455,2012,3,14,2,11,15413,14589337.0,1071.0060503652837
EWR,SFO,13.96,10.9219961545,2012,7,24,1,30,15545,17055993.0,4128.087796487114
SFO,ATL,9.52631578947,6.6530562822500015,2011,11,19,5,46,15297,20056568.0,3442.1540317854965
JFK,MCO,13.851851851900001,9.247468276000001,2012,5,2,2,18,15462,24520981.0,1519.6778187735383
MIA,JFK,13.0,8.88350531416,2013,3,4,0,10,15768,0.0,1753.5587649971123
SEA,ORD,7.625,4.96487663492,2012,4,28,5,17,15458,16121123.0,2768.641923284091
LAS,JFK,17.6216216216,11.686533920499999,2012,8,31,4,35,15583,19959651.0,3617.7361768351943
MIA,LGA,13.7894736842,13.2269881823,2012,2,11,5,6,15381,18987488.0,1764.8739598115098
DTW,ATL,8.166666666669999,6.22376848201,2013,1,17,3,3,15722,0.0,956.6034171320205
ORD,DTW,10.65,9.83696037776,2012,8,1,2,31,15553,32171795.0,378.2448562948795
LAX,JFK,17.0,11.217333525799999,2012,10,13,5,41,15626,31326268.0,3982.9681467053942
SFO,ORD,16.0333333333,11.6218680122,2012,8,2,3,31,15554,21284236.0,2970.9403880929817
